156            3         10.5            5
157            3            8          2.5
158       2.3843       11.064       4.1116
159            3          6.5            0
160       2.3843       8.5638       1.6116
161            3            8            5
162          1.5           13            0
163       2.4406       7.3303       1.2926
164          1.5       10.833            0
165          1.5           13          2.5
166       2.3843       8.5638       4.1116
167          1.5       10.833          2.5
168            3            5            0
169       2.4406       7.3303       3.7926
170       1.7687       9.1275       3.2231
171            3          6.5            5
172            3            5          2.5
173       2.4406       5.8303       1.2926
174          1.5       8.3333            0
175       1.8249       7.8941       2.9041
176          1.5           13            5
177          1.5       10.833            5
178       1.8812       6.6606       2.5852
179       2.4406       5.8303       3.7926
180          1.5       6.8333            0
181            3            5            5
182      0.88433       8.8971       1.6116
183      0.88433       11.064       4.1116
184          1.5       8.3333            5
185          2.5       4.0556       1.3074
186      0.94059       7.6636       1.2926
187            0           13            0
188      0.88433       8.8971       4.1116
189            0       10.833            0
190            3          2.5            0
191          2.5       4.0556       3.8074
192            0           13          2.5
193      0.94059       7.6636       3.7926
194            0       10.833          2.5
195            3          2.5          2.5
196          1.5       4.6667            0
197          1.5       6.1667            5
198            0       8.6667            0
199          1.5       4.6667          2.5
200      0.94059        5.497       1.2926
201            0           13            5
202            0       8.6667          2.5
203            0       10.833            5
204            3          2.5            5
205            2       3.1111       2.6149
206      0.94059        5.497       3.7926
207          1.5       4.6667            5
208            0          6.5            0
209            0       8.6667            5
210          2.5       1.5556       1.3074
211            0          6.5          2.5
212            1       3.7222       1.3074
213          2.5       1.5556       3.8074
214          1.5       2.1667            0
215            1       3.7222       3.8074
216            3            0            0
217            0          6.5            5
218          1.5       2.1667          2.5
219            3            0          2.5
220            0       4.3333            0
221            0       4.3333          2.5
222          1.5       2.1667            5
223            3            0            5
224            0       4.3333            5
225          1.5            0            0
226            0       2.1667            0
227          1.5            0          2.5
228            0       2.1667          2.5
229          1.5            0            5
230            0       2.1667            5
231            0            0            0
232            0            0          2.5
233            0            0            5
EndCoordinates

Elements
1 181 224 161 178 207 197 171 179 206 169
2 161 181 178 139 171 179 169 148 155 154
3 161 181 139 123 171 155 148 140 144 132
4 181 224 178 168 207 206 179 172 199 173
5 181 178 139 168 179 154 155 172 173 150
6 178 139 168 153 154 150 173 163 141 159
7 168 178 153 198 173 163 159 180 186 174
8 178 153 198 170 163 174 186 175 160 182
9 153 198 170 152 174 182 160 149 167 158
10 178 153 170 161 163 160 175 169 157 166
11 170 178 161 209 175 169 166 188 193 184
12 161 170 209 152 166 188 184 156 158 177
13 39 73 72 37 49 70 55 36 52 51
14 72 39 37 54 55 36 51 61 43 42
15 72 39 54 74 55 43 61 67 56 63
16 73 72 37 48 70 51 52 57 59 40
17 37 72 54 48 51 61 42 40 59 46
18 54 37 48 23 42 40 46 34 26 33
19 37 48 23 53 40 33 26 41 47 31
20 37 48 53 73 40 47 41 52 57 60
21 153 170 161 152 160 166 157 149 158 156
22 23 37 53 12 26 41 31 14 21 27
23 23 37 12 39 26 21 14 24 36 19
24 139 161 123 153 148 140 132 141 157 135
25 39 54 74 23 43 63 56 24 34 38
26 178 161 139 153 169 148 154 163 157 141
27 39 37 54 23 36 42 43 24 26 34
28 168 178 198 220 173 186 180 196 200 208
29 168 178 220 224 173 200 196 199 206 221
30 170 178 209 198 175 193 188 182 186 202
31 139 168 153 128 150 159 141 133 142 138
32 48 54 23 58 46 34 33 45 50 35
33 178 161 209 224 169 184 193 206 197 217
34 178 198 220 209 186 208 200 193 202 211
35 37 53 12 28 41 27 21 29 30 16
36 209 170 198 201 188 182 202 203 183 194
37 181 139 123 136 155 132 144 151 137 130
38 139 123 136 103 132 130 137 124 111 121
39 136 139 103 128 137 124 121 131 133 114
40 123 136 103 99 130 121 111 108 120 97
41 139 123 103 110 132 111 124 126 112 104
42 139 103 128 110 124 114 133 126 104 119
43 103 128 110 83 114 119 104 93 106 94
44 181 139 136 128 155 137 151 145 133 131
45 128 139 110 153 133 126 119 138 141 134
46 103 128 83 136 114 106 93 121 131 109
47 123 103 110 74 111 104 112 95 89 88
48 54 72 74 99 61 67 63 78 81 87
49 74 54 99 103 63 78 87 89 77 97
50 54 72 99 48 61 81 78 46 59 71
51 99 74 103 123 87 89 97 108 95 111
52 54 99 103 83 78 97 77 66 91 93
53 54 99 83 48 78 91 66 46 71 64
54 136 103 99 83 121 97 120 109 93 91
55 209 170 201 152 188 183 203 177 158 176
56 170 201 152 198 183 176 158 182 194 167
57 178 220 224 209 200 221 206 193 211 217
58 53 37 73 28 41 52 60 30 29 44
59 74 54 103 58 63 77 89 62 50 79
60 73 39 28 37 49 32 44 52 36 29
61 39 28 37 12 32 29 36 19 16 21
62 139 123 110 153 132 112 126 141 135 134
63 74 54 58 23 63 50 62 38 34 35
64 139 168 128 181 150 142 133 155 172 145
65 83 54 48 58 66 46 64 69 50 45
66 83 54 58 103 66 50 69 93 77 79
67 58 83 103 110 69 93 79 80 94 104
68 103 58 110 74 79 80 104 89 62 88
69 129 73 125 84 101 98 127 107 76 105
70 125 129 84 113 127 107 105 116 117 96
71 84 125 113 73 105 116 96 76 98 90
72 129 84 113 118 107 96 117 122 102 115
73 84 113 118 53 96 115 102 68 82 86
74 84 113 53 73 96 82 68 76 90 60
75 129 84 118 72 107 102 122 100 75 92
76 118 84 53 48 102 68 86 85 65 47
77 84 53 48 73 68 47 65 76 60 57
78 1 7 12 22 2 5 3 6 11 9
79 231 216 220 223 225 214 226 227 219 218
80 15 28 22 12 18 20 17 8 16 9
81 143 187 198 201 162 189 164 165 192 194
82 233 224 223 231 230 222 229 232 228 227
83 118 84 48 72 102 65 85 92 75 59
84 39 22 28 12 25 20 32 19 9 16
85 73 129 72 84 101 100 70 76 107 75
86 72 73 84 48 70 76 75 59 57 65
87 198 153 143 152 174 146 164 167 149 147
88 181 223 224 205 204 222 207 191 213 215
89 224 181 205 168 207 191 215 199 172 185
90 181 205 168 216 191 185 172 195 210 190
91 181 223 205 216 204 213 191 195 219 210
92 205 168 216 220 185 190 210 212 196 214
93 205 168 220 224 185 196 212 215 199 221
94 220 205 224 223 212 215 221 218 213 222
95 216 205 220 223 210 212 214 219 213 218
96 23 12 7 39 14 5 10 24 19 13
97 22 1 15 12 6 4 17 9 3 8
98 201 143 152 198 165 147 176 194 164 167
99 231 220 224 223 226 221 228 227 218 222
100 7 22 39 12 11 25 13 5 9 19
EndElements

Dirichlet_X
23           20
24           20
35           20
38           20
39           20
56           20
58           20
62           20
74           20
80           20
88           20
95           20
110           20
112           20
123           20
134           20
135           20
140           20
153           20
157           20
161           20
EndDirichlet_X

Dirichlet_Y
23           20
24           20
35           20
38           20
39           20
56           20
58           20
62           20
74           20
80           20
88           20
95           20
110           20
112           20
123           20
134           20
135           20
140           20
153           20
157           20
161           20
EndDirichlet_Y

Dirichlet_Z
23           20
24           20
35           20
38           20
39           20
56           20
58           20
62           20
74           20
80           20
88           20
95           20
110           20
112           20
123           20
134           20
135           20
140           20
153           20
157           20
161           20
EndDirichlet_Z

Neumann
48            8
59            8
64            8
71            8
72            8
81            8
83            8
91            8
99            8
106            8
109            8
120            8
128            8
131            8
136            8
142            8
145            8
151            8
168            8
172            8
181            8
EndNeumann
